balance_id,customer_id,product_id,date,balance,contributions_mtd,withdrawals_mtd,investment_returns_mtd,fees_mtd
BAL00000001,CUS000001,PRD0007,2023-03-26,13084.73,0.0,0,-109.86,5.82
BAL00000002,CUS000001,PRD0007,2023-04-01,12604.0,0.0,0,-474.92,5.8
BAL00000003,CUS000001,PRD0007,2023-05-01,11701.56,0.0,0,-896.7,5.74
BAL00000004,CUS000001,PRD0007,2023-06-01,11286.95,0.0,0,-408.98,5.63
BAL00000005,CUS000001,PRD0007,2023-07-01,11362.05,0.0,0,80.67,5.58
BAL00000006,CUS000001,PRD0007,2023-08-01,11399.8,0.0,0,43.34,5.59
BAL00000007,CUS000001,PRD0007,2023-09-01,11463.14,0.0,0,68.93,5.59
BAL00000008,CUS000001,PRD0007,2023-10-01,11322.39,0.0,0,-135.15,5.6
BAL00000009,CUS000001,PRD0007,2023-11-01,11174.45,0.0,0,-142.36,5.58
BAL00000010,CUS000001,PRD0007,2023-12-01,15168.16,3801.72,0,197.56,5.56
BAL00000011,CUS000001,PRD0007,2024-01-01,15209.3,0.0,0,47.2,6.06
BAL00000012,CUS000001,PRD0007,2024-02-01,14517.89,0.0,0,-685.34,6.07
BAL00000013,CUS000001,PRD0007,2024-03-01,13993.76,0.0,0,-518.15,5.98
BAL00000014,CUS000001,PRD0007,2024-04-01,14031.62,0.0,0,43.78,5.92
BAL00000015,CUS000001,PRD0007,2024-05-01,14349.49,0.0,0,323.8,5.92
BAL00000016,CUS000001,PRD0007,2024-06-01,15359.19,0.0,0,1015.65,5.96
BAL00000017,CUS000001,PRD0007,2024-07-01,15250.97,0.0,0,-102.13,6.09
BAL00000018,CUS000001,PRD0007,2024-08-01,15626.7,0.0,0,381.8,6.07
BAL00000019,CUS000001,PRD0007,2024-09-01,15858.97,0.0,0,238.39,6.12
BAL00000020,CUS000001,PRD0007,2024-10-01,16477.13,0.0,0,624.31,6.15
BAL00000021,CUS000001,PRD0002,2023-03-26,13834.38,788.91,0,-96.43,6.58
BAL00000022,CUS000001,PRD0002,2023-04-01,13396.61,0.0,0,-431.07,6.7
BAL00000023,CUS000001,PRD0002,2023-05-01,12676.43,0.0,0,-713.56,6.62
BAL00000024,CUS000001,PRD0002,2023-06-01,13070.19,631.13,0,-230.88,6.49
BAL00000025,CUS000001,PRD0002,2023-07-01,13141.76,0.0,0,78.13,6.56
BAL00000026,CUS000001,PRD0002,2023-08-01,13274.38,0.0,0,139.2,6.58
BAL00000027,CUS000001,PRD0002,2023-09-01,14157.8,788.91,0,101.11,6.6
BAL00000028,CUS000001,PRD0002,2023-10-01,13478.65,0.0,570.28,-102.11,6.76
BAL00000029,CUS000001,PRD0002,2023-11-01,13373.05,0.0,0,-98.96,6.64
BAL00000030,CUS000001,PRD0002,2023-12-01,14645.81,946.69,0,332.69,6.62
BAL00000031,CUS000001,PRD0002,2024-01-01,14650.99,0.0,0,12.03,6.85
BAL00000032,CUS000001,PRD0002,2024-02-01,14264.96,0.0,0,-379.18,6.85
BAL00000033,CUS000001,PRD0002,2024-03-01,14553.6,788.91,0,-493.49,6.78
BAL00000034,CUS000001,PRD0002,2024-04-01,14624.31,0.0,0,77.55,6.83
BAL00000035,CUS000001,PRD0002,2024-05-01,14903.91,0.0,0,286.44,6.85
BAL00000036,CUS000001,PRD0002,2024-06-01,16388.47,631.13,0,860.34,6.9
BAL00000037,CUS000001,PRD0002,2024-07-01,16348.01,0.0,0,-33.29,7.17
BAL00000038,CUS000001,PRD0002,2024-08-01,16694.93,0.0,0,354.08,7.16
