engagement_id,customer_id,date,action_type,device_type,session_duration,pages_viewed,actions_taken
ENG0000001,CUS000543,2023-12-18,View Balance,Voice Assistant,6,3,1
ENG0000002,CUS000567,2023-11-10,Research Product,Desktop,8,4,2
ENG0000003,CUS000078,2024-08-06,Research Product,Voice Assistant,16,8,4
ENG0000004,CUS000412,2024-06-20,Download Statement,Mobile Phone,2,1,1
ENG0000005,CUS000794,2023-08-22,View Balance,Mobile Phone,5,2,1
ENG0000006,CUS000256,2022-03-06,Contact Support,Tablet,8,4,2
ENG0000007,CUS000358,2024-08-12,Use Planning Tool,Mobile Phone,22,11,5
ENG0000008,CUS000579,2023-07-22,Research Product,Desktop,9,4,2
ENG0000009,CUS000049,2024-08-02,Complete Survey,Smart TV,9,4,2
ENG0000010,CUS000154,2020-08-31,Research Product,Desktop,16,8,4
ENG0000011,CUS000525,2024-04-05,Update Profile,Mobile Phone,5,2,1
ENG0000012,CUS000013,2024-05-13,Login,Voice Assistant,2,1,1
ENG0000013,CUS000779,2023-05-16,View Balance,Tablet,10,5,2
ENG0000014,CUS000033,2023-11-05,Contact Support,Tablet,6,3,1
ENG0000015,CUS000975,2024-09-10,Download Statement,Mobile Phone,1,1,1
ENG0000016,CUS000921,2024-05-07,Use Planning Tool,Tablet,11,5,2
ENG0000017,CUS000325,2022-02-19,Research Product,Tablet,14,7,3
ENG0000018,CUS000463,2024-07-15,Login,Tablet,1,1,1
ENG0000019,CUS000521,2023-08-29,Login,Tablet,3,1,1
ENG0000020,CUS000871,2024-03-07,Complete Survey,Desktop,8,4,2
ENG0000021,CUS000864,2023-01-23,Modify Investment,Desktop,9,4,2
ENG0000022,CUS000919,2023-03-21,Download Statement,Mobile Phone,3,1,1
ENG0000023,CUS000098,2023-11-16,Use Planning Tool,Desktop,16,8,4
ENG0000024,CUS000279,2023-01-17,Complete Survey,Mobile Phone,9,4,2
ENG0000025,CUS000706,2024-07-17,Modify Investment,Voice Assistant,10,5,2
ENG0000026,CUS000841,2024-03-06,Use Planning Tool,Mobile Phone,5,2,1
ENG0000027,CUS000279,2022-01-20,View Balance,Mobile Phone,7,3,1
ENG0000028,CUS000733,2022-08-14,Use Planning Tool,Desktop,5,2,1
ENG0000029,CUS000781,2024-05-02,Research Product,Desktop,17,8,4
ENG0000030,CUS000559,2022-09-28,Download Statement,Smart TV,5,2,1
ENG0000031,CUS000330,2021-09-28,Watch Educational Video,Mobile Phone,15,7,3
ENG0000032,CUS000796,2024-07-24,View Balance,Mobile Phone,3,1,1
ENG0000033,CUS000369,2022-01-07,Download Statement,Voice Assistant,2,1,1
ENG0000034,CUS000450,2024-02-11,Update Profile,Tablet,3,1,1
ENG0000035,CUS000033,2024-09-18,Download Statement,Mobile Phone,3,1,1
ENG0000036,CUS000127,2023-11-15,Use Planning Tool,Mobile Phone,13,6,3
ENG0000037,CUS000127,2022-11-26,Complete Survey,Mobile Phone,9,4,2
ENG0000038,CUS000231,2024-04-15,Update Profile,Tablet,5,2,1
ENG0000039,CUS000984,2021-11-10,Complete Survey,Voice Assistant,3,1,1
ENG0000040,CUS000454,2024-03-14,Watch Educational Video,Desktop,19,9,4
ENG0000041,CUS000582,2024-07-04,Update Profile,Mobile Phone,3,1,1
ENG0000042,CUS000544,2023-05-28,Update Profile,Tablet,4,2,1
ENG0000043,CUS000905,2024-06-26,Use Planning Tool,Mobile Phone,12,6,3
ENG0000044,CUS000924,2024-07-31,Update Profile,Smart TV,5,2,1
ENG0000045,CUS000637,2023-02-02,Contact Support,Mobile Phone,3,1,1
ENG0000046,CUS000798,2023-03-04,Modify Investment,Mobile Phone,8,4,2
ENG0000047,CUS000550,2024-04-08,Use Planning Tool,Desktop,26,13,6
ENG0000048,CUS000174,2024-05-24,Update Profile,Smart TV,4,2,1
ENG0000049,CUS000242,2023-10-29,Watch Educational Video,Tablet,28,14,7
ENG0000050,CUS000134,2022-12-09,Download Statement,Tablet,5,2,1
ENG0000051,CUS000374,2024-05-10,Use Planning Tool,Tablet,6,3,1
ENG0000052,CUS000322,2024-01-09,Use Planning Tool,Desktop,13,6,3
ENG0000053,CUS000229,2023-04-25,Modify Investment,Mobile Phone,8,4,2
ENG0000054,CUS000957,2022-11-22,Modify Investment,Desktop,7,3,1
ENG0000055,CUS000747,2024-02-11,Use Planning Tool,Tablet,15,7,3
ENG0000056,CUS000619,2022-10-20,Research Product,Desktop,27,13,6
ENG0000057,CUS000837,2024-09-26,Download Statement,Tablet,2,1,1
ENG0000058,CUS000171,2020-10-24,Use Planning Tool,Voice Assistant,8,4,2
ENG0000059,CUS000116,2024-02-07,Research Product,Tablet,20,10,5
ENG0000060,CUS000062,2020-10-24,View Balance,Mobile Phone,3,1,1
ENG0000061,CUS000623,2024-01-31,Contact Support,Desktop,5,2,1
ENG0000062,CUS000481,2023-10-06,Download Statement,Tablet,5,2,1
ENG0000063,CUS000929,2024-04-27,Modify Investment,Mobile Phone,6,3,1
ENG0000064,CUS000824,2023-04-29,Research Product,Voice Assistant,21,10,5
ENG0000065,CUS000875,2023-11-24,Use Planning Tool,Mobile Phone,5,2,1
ENG0000066,CUS000821,2022-06-02,View Balance,Mobile Phone,5,2,1
ENG0000067,CUS000125,2020-06-12,Use Planning Tool,Tablet,30,15,7
ENG0000068,CUS000242,2023-06-29,Update Profile,Voice Assistant,3,1,1
ENG0000069,CUS000266,2023-07-06,Login,Tablet,3,1,1
ENG0000070,CUS000386,2021-09-12,Login,Voice Assistant,5,2,1
ENG0000071,CUS000357,2023-12-24,Complete Survey,Voice Assistant,8,4,2
ENG0000072,CUS000158,2024-06-22,Complete Survey,Voice Assistant,7,3,1
ENG0000073,CUS000860,2023-07-14,Watch Educational Video,Mobile Phone,29,14,7
ENG0000074,CUS000956,2023-12-07,Research Product,Smart TV,16,8,4
ENG0000075,CUS000959,2022-12-12,Login,Mobile Phone,2,1,1
ENG0000076,CUS000994,2023-03-31,Modify Investment,Tablet,3,1,1
ENG0000077,CUS000948,2022-12-03,Update Profile,Mobile Phone,5,2,1
ENG0000078,CUS000475,2020-12-08,Modify Investment,Tablet,4,2,1
ENG0000079,CUS000707,2024-08-14,View Balance,Voice Assistant,7,3,1
ENG0000080,CUS000416,2024-09-26,Download Statement,Tablet,3,1,1
ENG0000081,CUS000790,2023-09-17,Download Statement,Desktop,3,1,1
ENG0000082,CUS000470,2023-07-27,Update Profile,Mobile Phone,1,1,1
ENG0000083,CUS000251,2023-02-17,Contact Support,Tablet,5,2,1
ENG0000084,CUS000224,2023-06-30,Update Profile,Smart TV,3,1,1
ENG0000085,CUS000019,2021-12-18,Watch Educational Video,Tablet,6,3,1
ENG0000086,CUS000450,2022-08-06,Login,Smart TV,4,2,1
ENG0000087,CUS000430,2023-06-29,Use Planning Tool,Voice Assistant,16,8,4
ENG0000088,CUS000111,2022-04-19,Complete Survey,Tablet,10,5,2
ENG0000089,CUS000999,2022-01-24,Contact Support,Mobile Phone,6,3,1
ENG0000090,CUS000652,2023-11-11,Watch Educational Video,Mobile Phone,29,14,7
ENG0000091,CUS000294,2023-06-01,Complete Survey,Mobile Phone,10,5,2
ENG0000092,CUS000832,2022-11-24,Modify Investment,Desktop,5,2,1
ENG0000093,CUS000567,2021-12-16,Research Product,Smart TV,9,4,2
ENG0000094,CUS000691,2022-12-01,Update Profile,Voice Assistant,4,2,1
ENG0000095,CUS000347,2022-12-20,Complete Survey,Mobile Phone,7,3,1
ENG0000096,CUS000648,2023-04-25,Download Statement,Smart TV,1,1,1
ENG0000097,CUS000462,2023-09-30,Login,Tablet,1,1,1
ENG0000098,CUS000106,2024-09-24,Login,Tablet,2,1,1
ENG0000099,CUS000520,2022-12-02,Update Profile,Smart TV,2,1,1
ENG0000100,CUS000505,2024-09-19,Research Product,Desktop,19,9,4
ENG0000101,CUS000300,2024-09-28,Research Product,Desktop,29,14,7
ENG0000102,CUS000330,2021-12-25,Research Product,Smart TV,25,12,6
ENG0000103,CUS000875,2022-07-22,Contact Support,Desktop,3,1,1
ENG0000104,CUS000659,2024-06-11,Modify Investment,Mobile Phone,9,4,2
ENG0000105,CUS000731,2024-07-05,Update Profile,Desktop,4,2,1
ENG0000106,CUS000692,2023-07-05,Use Planning Tool,Desktop,28,14,7
ENG0000107,CUS000677,2024-04-18,Use Planning Tool,Voice Assistant,15,7,3
ENG0000108,CUS000843,2021-03-14,Research Product,Voice Assistant,12,6,3
ENG0000109,CUS000468,2023-08-25,Watch Educational Video,Smart TV,17,8,4
ENG0000110,CUS000377,2024-05-12,Update Profile,Tablet,5,2,1
ENG0000111,CUS000698,2020-12-04,Modify Investment,Tablet,5,2,1
ENG0000112,CUS000224,2024-06-30,Research Product,Mobile Phone,26,13,6
ENG0000113,CUS000335,2024-06-05,Modify Investment,Voice Assistant,7,3,1
ENG0000114,CUS000178,2022-07-06,Use Planning Tool,Tablet,27,13,6
ENG0000115,CUS000945,2024-09-11,Research Product,Mobile Phone,14,7,3
ENG0000116,CUS000372,2024-08-30,Download Statement,Tablet,1,1,1
ENG0000117,CUS000798,2023-12-02,Complete Survey,Smart TV,3,1,1
ENG0000118,CUS000677,2023-02-03,Complete Survey,Tablet,7,3,1
ENG0000119,CUS000620,2023-05-30,Download Statement,Mobile Phone,1,1,1
ENG0000120,CUS000203,2024-06-08,Modify Investment,Mobile Phone,3,1,1
ENG0000121,CUS000428,2023-10-29,Complete Survey,Tablet,4,2,1
ENG0000122,CUS000953,2023-05-07,View Balance,Smart TV,6,3,1
ENG0000123,CUS000441,2023-08-05,Login,Mobile Phone,4,2,1
ENG0000124,CUS000937,2021-03-14,Update Profile,Mobile Phone,4,2,1
ENG0000125,CUS000528,2024-04-02,Update Profile,Mobile Phone,1,1,1
ENG0000126,CUS000019,2023-06-27,Watch Educational Video,Desktop,5,2,1
ENG0000127,CUS000472,2024-06-13,Download Statement,Mobile Phone,2,1,1
ENG0000128,CUS000797,2022-04-12,Update Profile,Desktop,3,1,1
ENG0000129,CUS000290,2023-05-17,Complete Survey,Mobile Phone,10,5,2
ENG0000130,CUS000338,2024-08-18,Update Profile,Tablet,1,1,1
ENG0000131,CUS000943,2024-05-18,Login,Smart TV,3,1,1
ENG0000132,CUS000576,2024-01-10,View Balance,Mobile Phone,3,1,1
ENG0000133,CUS000698,2021-12-23,View Balance,Smart TV,2,1,1
ENG0000134,CUS000767,2024-08-08,Modify Investment,Mobile Phone,4,2,1
ENG0000135,CUS000233,2022-07-01,Download Statement,Smart TV,1,1,1
ENG0000136,CUS000593,2024-08-19,Watch Educational Video,Mobile Phone,28,14,7
ENG0000137,CUS000607,2024-03-16,Contact Support,Mobile Phone,7,3,1
ENG0000138,CUS000382,2022-07-07,Use Planning Tool,Tablet,9,4,2
ENG0000139,CUS000278,2023-10-06,View Balance,Mobile Phone,4,2,1
ENG0000140,CUS000770,2021-03-31,Download Statement,Smart TV,5,2,1
ENG0000141,CUS000284,2022-12-05,Watch Educational Video,Voice Assistant,19,9,4
