enrollment_id,customer_id,product_id,enrollment_date,initial_investment,contribution_frequency,monthly_contribution,advisor_id,channel,status
ENR0000001,CUS000001,PRD0007,2023-03-26,13200.41,Annual,3168.1,ADV0021,Web,Active
ENR0000002,CUS000001,PRD0002,2023-03-26,13148.48,Quarterly,788.91,ADV0049,Phone,Active
ENR0000003,CUS000002,PRD0009,2020-05-23,10154.3,Bi-annual,4874.06,ADV0021,Phone,Active
ENR0000004,CUS000002,PRD0013,2020-05-23,14841.72,Annual,14248.05,ADV0014,Web,Active
ENR0000005,CUS000002,PRD0015,2020-05-23,152299.17,One-time,0,ADV0014,Web,Active
ENR0000006,CUS000002,PRD0007,2020-05-23,52184.51,Annual,50097.13,ADV0021,Web,Active
ENR0000007,CUS000002,PRD0002,2020-05-23,89144.08,Quarterly,21394.58,ADV0033,Phone,Active
ENR0000008,CUS000003,PRD0009,2021-09-07,3905.23,One-time,0,ADV0029,Mobile App,Active
ENR0000009,CUS000004,PRD0011,2021-01-27,2001.09,Annual,480.26,ADV0018,In-person,Active
ENR0000010,CUS000004,PRD0003,2021-01-27,29988.63,Quarterly,1799.32,ADV0038,In-person,Active
ENR0000011,CUS000005,PRD0003,2020-09-02,26087.74,One-time,0,ADV0005,In-person,Active
ENR0000012,CUS000006,PRD0002,2022-06-24,43126.84,Bi-annual,12420.53,ADV0028,Mobile App,Active
ENR0000013,CUS000006,PRD0014,2022-06-24,113035.9,Bi-annual,32554.34,ADV0041,Mobile App,Active
ENR0000014,CUS000006,PRD0003,2022-06-24,38190.39,Bi-annual,10998.83,ADV0022,Mobile App,Active
ENR0000015,CUS000007,PRD0015,2023-09-21,101510.7,Monthly,4060.43,ADV0039,Web,Active
ENR0000016,CUS000008,PRD0007,2021-02-11,15557.91,Annual,3733.9,ADV0049,Phone,Active
ENR0000017,CUS000009,PRD0009,2023-07-13,2061.9,Annual,593.83,ADV0044,Mobile App,Active
ENR0000018,CUS000010,PRD0007,2023-11-09,18391.46,Monthly,257.48,ADV0008,Web,Active
ENR0000019,CUS000010,PRD0003,2023-11-09,21668.66,Quarterly,910.08,ADV0048,Mobile App,Active
ENR0000020,CUS000011,PRD0004,2023-11-26,4540.7,Bi-annual,653.86,ADV0046,Mobile App,Active
ENR0000021,CUS000011,PRD0002,2023-11-26,24591.21,Monthly,590.19,ADV0018,Phone,Active
