interaction_id,customer_id,date,channel,reason_code,duration_minutes,satisfaction_score,resolution_status,agent_id
INT000001,CUS000512,2024-07-22,Web,Complaint,21,2.8,Unresolved,AGT0064
INT000002,CUS000324,2024-08-06,Web,Technical Support,15,3.5,Resolved,AGT0060
INT000003,CUS000293,2024-08-11,Phone,Technical Support,21,2.1,Partially Resolved,AGT0099
INT000004,CUS000920,2023-01-27,Mobile App,Technical Support,13,3.9,Partially Resolved,AGT0048
INT000005,CUS000386,2021-07-19,In-person,Transaction Issue,33,2.5,Unresolved,AGT0053
INT000006,CUS000203,2024-07-07,In-person,Statement Request,19,5,Resolved,AGT0025
INT000007,CUS000959,2021-08-29,In-person,Complaint,27,2.8,Unresolved,AGT0011
INT000008,CUS000996,2021-11-27,Phone,Account Inquiry,11,4.9,Resolved,AGT0024
INT000009,CUS000736,2023-09-05,Phone,Transaction Issue,28,1.7,Partially Resolved,AGT0057
INT000010,CUS000262,2024-05-20,In-person,Transaction Issue,42,1.8,Partially Resolved,AGT0062
INT000011,CUS000130,2024-02-12,Phone,Fee Inquiry,27,3.4,Partially Resolved,AGT0001
INT000012,CUS000070,2022-09-22,Email,Fee Inquiry,9,4.1,Resolved,AGT0030
INT000013,CUS000746,2024-04-05,In-person,Fee Inquiry,16,4.1,Resolved,AGT0083
INT000014,CUS000051,2024-08-25,Mobile App,Account Inquiry,13,4.8,Resolved,AGT0031
INT000015,CUS000963,2024-09-08,In-person,Complaint,33,2.0,Partially Resolved,AGT0001
INT000016,CUS000655,2024-05-24,Web,Statement Request,3,4.3,Resolved,AGT0071
INT000017,CUS000595,2024-05-04,In-person,Complaint,40,3.1,Resolved,AGT0021
INT000018,CUS000490,2024-04-01,In-person,Statement Request,7,3.5,Partially Resolved,AGT0088
INT000019,CUS000921,2023-03-06,Phone,Account Inquiry,14,4.3,Resolved,AGT0082
INT000020,CUS000417,2023-09-03,Email,Account Inquiry,5,3.6,Resolved,AGT0035
INT000021,CUS000909,2023-06-11,Phone,Account Inquiry,20,4.6,Resolved,AGT0042
INT000022,CUS000594,2024-03-16,Mobile App,Market Information,8,3.8,Resolved,AGT0040
INT000023,CUS000214,2023-09-21,Chat,Complaint,6,3.2,Resolved,AGT0090
INT000024,CUS000436,2024-08-24,Chat,Transaction Issue,15,2.8,Partially Resolved,AGT0062
INT000025,CUS000662,2021-10-10,Phone,Fee Inquiry,24,3.5,Resolved,AGT0036
